Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,target
KCR,AL,2011.0,762.0,71.0,0.3289999999999999,0.415,0.275,0,162,730.0
LAA,AL,2011.0,633.0,86.0,0.313,0.402,0.253,0,162,667.0
LAD,NL,2011.0,612.0,82.0,0.322,0.375,0.257,0,161,644.0
MIL,NL,2011.0,638.0,96.0,0.325,0.425,0.261,1,162,721.0
MIN,AL,2011.0,804.0,63.0,0.306,0.36,0.247,0,162,619.0
NYM,NL,2011.0,742.0,77.0,0.335,0.391,0.264,0,162,718.0
NYY,AL,2011.0,657.0,97.0,0.3429999999999999,0.444,0.263,1,162,867.0
OAK,AL,2011.0,679.0,74.0,0.311,0.369,0.244,0,162,645.0
PHI,NL,2011.0,529.0,102.0,0.3229999999999999,0.395,0.253,1,162,713.0
PIT,NL,2011.0,712.0,72.0,0.309,0.368,0.244,0,162,610.0
SDP,NL,2011.0,611.0,71.0,0.305,0.349,0.237,0,162,593.0
SEA,AL,2011.0,675.0,67.0,0.292,0.348,0.233,0,162,556.0
SFG,NL,2011.0,578.0,86.0,0.303,0.368,0.242,0,162,570.0
STL,NL,2011.0,692.0,90.0,0.341,0.425,0.273,1,162,762.0
TBR,AL,2011.0,614.0,91.0,0.322,0.402,0.244,1,162,707.0
TEX,AL,2011.0,677.0,96.0,0.34,0.46,0.283,1,162,855.0
TOR,AL,2011.0,761.0,81.0,0.317,0.413,0.249,0,162,743.0
WSN,NL,2011.0,643.0,80.0,0.309,0.3829999999999999,0.242,0,161,624.0
ARI,NL,2010.0,836.0,65.0,0.325,0.416,0.25,0,162,713.0
ATL,NL,2010.0,629.0,91.0,0.3389999999999999,0.401,0.258,1,162,738.0
BAL,AL,2010.0,785.0,66.0,0.316,0.386,0.259,0,162,613.0
BOS,AL,2010.0,744.0,89.0,0.3389999999999999,0.451,0.268,0,162,818.0
CHC,NL,2010.0,767.0,75.0,0.32,0.401,0.257,0,162,685.0
CHW,AL,2010.0,704.0,88.0,0.332,0.42,0.268,0,162,752.0
CIN,NL,2010.0,685.0,91.0,0.3379999999999999,0.436,0.272,1,162,790.0
CLE,AL,2010.0,752.0,69.0,0.322,0.3779999999999999,0.248,0,162,646.0
COL,NL,2010.0,717.0,83.0,0.336,0.425,0.263,0,162,770.0
DET,AL,2010.0,743.0,81.0,0.335,0.415,0.268,0,162,751.0
FLA,NL,2010.0,717.0,80.0,0.321,0.4029999999999999,0.254,0,162,719.0
HOU,NL,2010.0,729.0,76.0,0.303,0.362,0.247,0,162,611.0
KCR,AL,2010.0,845.0,67.0,0.331,0.3989999999999999,0.2739999999999999,0,162,676.0
LAA,AL,2010.0,702.0,80.0,0.311,0.39,0.248,0,162,681.0
LAD,NL,2010.0,692.0,80.0,0.322,0.379,0.252,0,162,667.0
MIL,NL,2010.0,804.0,77.0,0.335,0.424,0.262,0,162,750.0
MIN,AL,2010.0,671.0,94.0,0.341,0.422,0.273,1,162,781.0
NYM,NL,2010.0,652.0,79.0,0.314,0.3829999999999999,0.249,0,162,656.0
NYY,AL,2010.0,693.0,95.0,0.35,0.436,0.267,1,162,859.0
OAK,AL,2010.0,626.0,81.0,0.324,0.3779999999999999,0.256,0,162,663.0
PHI,NL,2010.0,640.0,97.0,0.332,0.413,0.26,1,162,772.0
PIT,NL,2010.0,866.0,57.0,0.304,0.373,0.242,0,162,587.0
SDP,NL,2010.0,581.0,90.0,0.317,0.371,0.246,0,162,665.0
SEA,AL,2010.0,698.0,61.0,0.298,0.3389999999999999,0.236,0,162,513.0
SFG,NL,2010.0,583.0,92.0,0.321,0.408,0.257,1,162,697.0
STL,NL,2010.0,641.0,86.0,0.332,0.402,0.263,0,162,736.0
TBR,AL,2010.0,649.0,96.0,0.3329999999999999,0.4029999999999999,0.247,1,162,802.0
TEX,AL,2010.0,687.0,90.0,0.3379999999999999,0.419,0.276,1,162,787.0
TOR,AL,2010.0,728.0,85.0,0.312,0.4539999999999999,0.248,0,162,755.0
WSN,NL,2010.0,742.0,69.0,0.318,0.39,0.25,0,162,655.0
ARI,NL,2009.0,782.0,70.0,0.324,0.418,0.253,0,162,720.0
ATL,NL,2009.0,641.0,86.0,0.3389999999999999,0.405,0.263,0,162,735.0
BAL,AL,2009.0,876.0,64.0,0.332,0.415,0.268,0,162,741.0
BOS,AL,2009.0,736.0,95.0,0.352,0.4539999999999999,0.27,1,162,872.0
CHC,NL,2009.0,672.0,83.0,0.332,0.407,0.255,0,161,707.0
CHW,AL,2009.0,732.0,79.0,0.3289999999999999,0.411,0.258,0,162,724.0
CIN,NL,2009.0,723.0,78.0,0.318,0.3939999999999999,0.247,0,162,673.0
CLE,AL,2009.0,865.0,65.0,0.3389999999999999,0.417,0.264,0,162,773.0
COL,NL,2009.0,715.0,92.0,0.3429999999999999,0.441,0.261,1,162,804.0
DET,AL,2009.0,745.0,86.0,0.331,0.416,0.26,0,163,743.0
FLA,NL,2009.0,766.0,87.0,0.34,0.416,0.268,0,162,772.0
HOU,NL,2009.0,770.0,74.0,0.319,0.4,0.26,0,162,643.0
KCR,AL,2009.0,842.0,65.0,0.318,0.405,0.259,0,162,686.0
LAA,AL,2009.0,761.0,97.0,0.35,0.441,0.285,1,162,883.0
LAD,NL,2009.0,611.0,95.0,0.346,0.412,0.27,1,162,780.0
MIL,NL,2009.0,818.0,80.0,0.341,0.426,0.263,0,162,785.0
MIN,AL,2009.0,765.0,87.0,0.345,0.429,0.2739999999999999,1,163,817.0
NYM,NL,2009.0,757.0,70.0,0.335,0.3939999999999999,0.27,0,162,671.0
NYY,AL,2009.0,753.0,103.0,0.362,0.478,0.283,1,162,915.0
OAK,AL,2009.0,761.0,75.0,0.3279999999999999,0.397,0.262,0,162,759.0
PHI,NL,2009.0,709.0,93.0,0.3339999999999999,0.447,0.258,1,162,820.0
PIT,NL,2009.0,768.0,62.0,0.318,0.387,0.252,0,161,636.0
SDP,NL,2009.0,769.0,75.0,0.321,0.381,0.242,0,162,638.0
SEA,AL,2009.0,692.0,85.0,0.314,0.402,0.258,0,162,640.0
SFG,NL,2009.0,611.0,88.0,0.309,0.389,0.257,0,162,657.0
STL,NL,2009.0,640.0,91.0,0.332,0.415,0.263,1,162,730.0
TBR,AL,2009.0,754.0,84.0,0.3429999999999999,0.439,0.263,0,162,803.0
TEX,AL,2009.0,740.0,87.0,0.32,0.445,0.26,0,162,784.0
TOR,AL,2009.0,771.0,75.0,0.3329999999999999,0.44,0.266,0,162,798.0
WSN,NL,2009.0,874.0,59.0,0.337,0.406,0.258,0,162,710.0
ARI,NL,2008.0,706.0,82.0,0.327,0.415,0.251,0,162,720.0
ATL,NL,2008.0,778.0,72.0,0.345,0.408,0.27,0,162,753.0
BAL,AL,2008.0,869.0,68.0,0.3329999999999999,0.429,0.267,0,161,782.0
BOS,AL,2008.0,694.0,95.0,0.358,0.447,0.28,1,162,845.0
CHC,NL,2008.0,671.0,97.0,0.354,0.4429999999999999,0.278,1,161,855.0
CHW,AL,2008.0,729.0,89.0,0.332,0.4479999999999999,0.263,1,163,811.0
CIN,NL,2008.0,800.0,74.0,0.321,0.408,0.247,0,162,704.0
CLE,AL,2008.0,761.0,81.0,0.3389999999999999,0.424,0.262,0,162,805.0
COL,NL,2008.0,822.0,74.0,0.336,0.415,0.263,0,162,747.0
DET,AL,2008.0,857.0,74.0,0.34,0.444,0.271,0,162,821.0
FLA,NL,2008.0,767.0,84.0,0.326,0.433,0.254,0,161,770.0
HOU,NL,2008.0,743.0,86.0,0.3229999999999999,0.415,0.263,0,161,712.0
KCR,AL,2008.0,781.0,75.0,0.32,0.397,0.2689999999999999,0,162,691.0
LAA,AL,2008.0,697.0,100.0,0.33,0.413,0.268,1,162,765.0
LAD,NL,2008.0,648.0,84.0,0.3329999999999999,0.3989999999999999,0.264,1,162,700.0
MIL,NL,2008.0,689.0,90.0,0.325,0.431,0.253,1,162,750.0
MIN,AL,2008.0,745.0,88.0,0.34,0.408,0.2789999999999999,0,163,829.0
NYM,NL,2008.0,715.0,89.0,0.34,0.42,0.266,0,162,799.0
NYY,AL,2008.0,727.0,89.0,0.342,0.427,0.271,0,162,789.0
OAK,AL,2008.0,690.0,75.0,0.318,0.369,0.242,0,161,646.0
PHI,NL,2008.0,680.0,92.0,0.332,0.4379999999999999,0.255,1,162,799.0
PIT,NL,2008.0,884.0,67.0,0.32,0.4029999999999999,0.258,0,162,735.0
SDP,NL,2008.0,764.0,63.0,0.317,0.39,0.25,0,162,637.0
SEA,AL,2008.0,811.0,61.0,0.318,0.389,0.265,0,162,671.0
SFG,NL,2008.0,759.0,72.0,0.321,0.382,0.262,0,162,640.0
STL,NL,2008.0,725.0,86.0,0.35,0.433,0.281,0,162,779.0
TBR,AL,2008.0,671.0,97.0,0.34,0.422,0.26,1,162,774.0
TEX,AL,2008.0,967.0,79.0,0.354,0.462,0.283,0,162,901.0
TOR,AL,2008.0,610.0,86.0,0.331,0.3989999999999999,0.264,0,162,714.0
WSN,NL,2008.0,825.0,59.0,0.3229999999999999,0.373,0.251,0,161,641.0
ARI,NL,2007.0,732.0,90.0,0.321,0.413,0.25,1,162,712.0
ATL,NL,2007.0,733.0,84.0,0.3389999999999999,0.435,0.275,0,162,810.0
BAL,AL,2007.0,868.0,69.0,0.3329999999999999,0.412,0.272,0,162,756.0
BOS,AL,2007.0,657.0,96.0,0.362,0.444,0.2789999999999999,1,162,867.0
CHC,NL,2007.0,690.0,85.0,0.3329999999999999,0.422,0.271,1,162,752.0
CHW,AL,2007.0,839.0,72.0,0.318,0.4039999999999999,0.246,0,162,693.0
CIN,NL,2007.0,853.0,72.0,0.335,0.436,0.267,0,162,783.0
CLE,AL,2007.0,704.0,96.0,0.3429999999999999,0.428,0.268,1,162,811.0
COL,NL,2007.0,758.0,90.0,0.354,0.437,0.28,1,163,860.0
DET,AL,2007.0,797.0,88.0,0.345,0.4579999999999999,0.287,0,162,887.0
FLA,NL,2007.0,891.0,71.0,0.336,0.4479999999999999,0.267,0,162,790.0
HOU,NL,2007.0,813.0,73.0,0.33,0.412,0.26,0,162,723.0
KCR,AL,2007.0,778.0,69.0,0.322,0.3879999999999999,0.261,0,162,706.0
LAA,AL,2007.0,731.0,94.0,0.345,0.417,0.284,1,162,822.0
LAD,NL,2007.0,727.0,82.0,0.337,0.406,0.275,0,162,735.0
MIL,NL,2007.0,776.0,83.0,0.3289999999999999,0.456,0.262,0,162,801.0
MIN,AL,2007.0,725.0,79.0,0.33,0.391,0.264,0,162,718.0
NYM,NL,2007.0,750.0,88.0,0.342,0.432,0.275,0,162,804.0
NYY,AL,2007.0,777.0,94.0,0.366,0.4629999999999999,0.29,1,162,968.0
OAK,AL,2007.0,758.0,76.0,0.3379999999999999,0.407,0.256,0,162,741.0
PHI,NL,2007.0,821.0,89.0,0.354,0.4579999999999999,0.2739999999999999,1,162,892.0
PIT,NL,2007.0,846.0,68.0,0.325,0.411,0.263,0,162,724.0
SDP,NL,2007.0,666.0,89.0,0.322,0.411,0.251,0,163,741.0
SEA,AL,2007.0,813.0,88.0,0.337,0.425,0.287,0,162,794.0
SFG,NL,2007.0,720.0,71.0,0.322,0.387,0.254,0,162,683.0
STL,NL,2007.0,829.0,78.0,0.337,0.405,0.2739999999999999,0,162,725.0
TBD,AL,2007.0,944.0,66.0,0.336,0.433,0.268,0,162,782.0
TEX,AL,2007.0,844.0,75.0,0.3279999999999999,0.426,0.263,0,162,816.0
TOR,AL,2007.0,699.0,83.0,0.327,0.419,0.259,0,162,753.0
WSN,NL,2007.0,783.0,73.0,0.325,0.39,0.256,0,162,673.0
ARI,NL,2006.0,788.0,76.0,0.331,0.424,0.267,0,162,773.0
ATL,NL,2006.0,805.0,79.0,0.337,0.455,0.27,0,162,849.0
BAL,AL,2006.0,899.0,70.0,0.3389999999999999,0.424,0.2769999999999999,0,162,768.0
BOS,AL,2006.0,825.0,86.0,0.351,0.435,0.2689999999999999,0,162,820.0
CHC,NL,2006.0,834.0,66.0,0.319,0.422,0.268,0,162,716.0
CHW,AL,2006.0,794.0,90.0,0.342,0.4639999999999999,0.28,0,162,868.0
CIN,NL,2006.0,801.0,80.0,0.336,0.432,0.257,0,162,749.0
CLE,AL,2006.0,782.0,78.0,0.349,0.457,0.28,0,162,870.0
COL,NL,2006.0,812.0,76.0,0.341,0.433,0.27,0,162,813.0
DET,AL,2006.0,675.0,95.0,0.3289999999999999,0.449,0.2739999999999999,1,162,822.0
FLA,NL,2006.0,772.0,78.0,0.331,0.435,0.264,0,162,758.0
HOU,NL,2006.0,719.0,82.0,0.332,0.409,0.255,0,162,735.0
KCR,AL,2006.0,971.0,62.0,0.332,0.411,0.271,0,162,757.0
LAA,AL,2006.0,732.0,89.0,0.3339999999999999,0.425,0.2739999999999999,0,162,766.0
LAD,NL,2006.0,751.0,88.0,0.348,0.432,0.276,1,162,820.0
MIL,NL,2006.0,833.0,75.0,0.327,0.42,0.258,0,162,730.0
MIN,AL,2006.0,683.0,96.0,0.347,0.425,0.287,1,162,801.0
NYM,NL,2006.0,731.0,97.0,0.3339999999999999,0.445,0.264,1,162,834.0
NYY,AL,2006.0,767.0,97.0,0.363,0.461,0.285,1,162,930.0
OAK,AL,2006.0,727.0,93.0,0.34,0.412,0.26,1,162,771.0
PHI,NL,2006.0,812.0,85.0,0.347,0.447,0.267,0,162,865.0
PIT,NL,2006.0,797.0,67.0,0.327,0.397,0.263,0,162,691.0
SDP,NL,2006.0,679.0,88.0,0.332,0.416,0.263,1,162,731.0
SEA,AL,2006.0,792.0,78.0,0.325,0.424,0.272,0,162,756.0
SFG,NL,2006.0,790.0,76.0,0.324,0.422,0.259,0,161,746.0
STL,NL,2006.0,762.0,83.0,0.337,0.431,0.2689999999999999,1,161,781.0
TBD,AL,2006.0,856.0,61.0,0.314,0.42,0.255,0,162,689.0
TEX,AL,2006.0,784.0,80.0,0.3379999999999999,0.446,0.278,0,162,835.0
TOR,AL,2006.0,754.0,87.0,0.348,0.4629999999999999,0.284,0,162,809.0
WSN,NL,2006.0,872.0,71.0,0.3379999999999999,0.418,0.262,0,162,746.0
ARI,NL,2005.0,856.0,77.0,0.332,0.421,0.256,0,162,696.0
ATL,NL,2005.0,674.0,90.0,0.3329999999999999,0.435,0.265,1,162,769.0
BAL,AL,2005.0,800.0,74.0,0.327,0.434,0.2689999999999999,0,162,729.0
BOS,AL,2005.0,805.0,95.0,0.357,0.4539999999999999,0.281,1,162,910.0
CHC,NL,2005.0,714.0,79.0,0.324,0.44,0.27,0,162,703.0
CHW,AL,2005.0,645.0,99.0,0.322,0.425,0.262,1,162,741.0
CIN,NL,2005.0,889.0,73.0,0.3389999999999999,0.446,0.261,0,163,820.0
CLE,AL,2005.0,642.0,93.0,0.3339999999999999,0.4529999999999999,0.271,0,162,790.0
COL,NL,2005.0,862.0,67.0,0.3329999999999999,0.411,0.267,0,162,740.0
DET,AL,2005.0,787.0,71.0,0.321,0.428,0.272,0,162,723.0
FLA,NL,2005.0,732.0,83.0,0.3389999999999999,0.409,0.272,0,162,717.0
HOU,NL,2005.0,609.0,89.0,0.322,0.408,0.256,1,163,693.0
KCR,AL,2005.0,935.0,56.0,0.32,0.396,0.263,0,162,701.0
LAA,AL,2005.0,643.0,95.0,0.325,0.409,0.27,1,162,761.0
LAD,NL,2005.0,755.0,71.0,0.326,0.395,0.253,0,162,685.0
MIL,NL,2005.0,697.0,81.0,0.331,0.423,0.259,0,162,726.0
MIN,AL,2005.0,662.0,83.0,0.3229999999999999,0.391,0.259,0,162,688.0
NYM,NL,2005.0,648.0,83.0,0.322,0.416,0.258,0,162,722.0
NYY,AL,2005.0,789.0,95.0,0.355,0.45,0.276,1,162,886.0
OAK,AL,2005.0,658.0,88.0,0.33,0.407,0.262,0,162,772.0
PHI,NL,2005.0,726.0,88.0,0.348,0.423,0.27,0,162,807.0
PIT,NL,2005.0,769.0,67.0,0.322,0.4,0.259,0,162,680.0
SDP,NL,2005.0,726.0,82.0,0.3329999999999999,0.391,0.257,1,162,684.0
SEA,AL,2005.0,751.0,69.0,0.317,0.391,0.256,0,162,699.0
SFG,NL,2005.0,745.0,75.0,0.319,0.396,0.261,0,162,649.0
STL,NL,2005.0,634.0,100.0,0.3389999999999999,0.423,0.27,1,162,805.0
TBD,AL,2005.0,936.0,67.0,0.3289999999999999,0.425,0.2739999999999999,0,162,750.0
TEX,AL,2005.0,858.0,79.0,0.3289999999999999,0.4679999999999999,0.267,0,162,865.0
TOR,AL,2005.0,705.0,80.0,0.331,0.407,0.265,0,162,775.0
WSN,NL,2005.0,673.0,81.0,0.322,0.386,0.252,0,162,639.0
ANA,AL,2004.0,734.0,92.0,0.341,0.429,0.282,1,162,836.0
ARI,NL,2004.0,899.0,51.0,0.31,0.3929999999999999,0.253,0,162,615.0
ATL,NL,2004.0,668.0,96.0,0.3429999999999999,0.434,0.27,1,162,803.0
BAL,AL,2004.0,830.0,78.0,0.345,0.432,0.281,0,162,842.0
BOS,AL,2004.0,768.0,98.0,0.36,0.472,0.282,1,162,949.0
CHC,NL,2004.0,665.0,89.0,0.3279999999999999,0.4579999999999999,0.268,0,162,789.0
CHW,AL,2004.0,831.0,83.0,0.3329999999999999,0.457,0.268,0,162,865.0
CIN,NL,2004.0,907.0,76.0,0.331,0.418,0.25,0,162,750.0
CLE,AL,2004.0,857.0,80.0,0.351,0.444,0.276,0,162,858.0
COL,NL,2004.0,923.0,68.0,0.345,0.455,0.275,0,162,833.0
DET,AL,2004.0,844.0,72.0,0.337,0.449,0.272,0,162,827.0
FLA,NL,2004.0,700.0,83.0,0.3289999999999999,0.406,0.264,0,162,718.0
HOU,NL,2004.0,698.0,92.0,0.342,0.436,0.267,1,162,803.0
KCR,AL,2004.0,905.0,58.0,0.322,0.397,0.259,0,162,720.0
LAD,NL,2004.0,684.0,93.0,0.332,0.423,0.262,1,162,761.0
MIL,NL,2004.0,757.0,67.0,0.321,0.387,0.248,0,161,634.0
MIN,AL,2004.0,715.0,92.0,0.332,0.431,0.266,1,162,780.0
MON,NL,2004.0,769.0,67.0,0.313,0.392,0.249,0,162,635.0
NYM,NL,2004.0,731.0,71.0,0.317,0.409,0.249,0,162,684.0
NYY,AL,2004.0,808.0,101.0,0.353,0.4579999999999999,0.268,1,162,897.0
OAK,AL,2004.0,742.0,91.0,0.3429999999999999,0.433,0.27,0,162,793.0
PHI,NL,2004.0,781.0,86.0,0.345,0.4429999999999999,0.267,0,162,840.0
PIT,NL,2004.0,744.0,72.0,0.321,0.401,0.26,0,161,680.0
SDP,NL,2004.0,705.0,87.0,0.342,0.414,0.273,0,162,768.0
SEA,AL,2004.0,823.0,63.0,0.331,0.396,0.27,0,162,698.0
SFG,NL,2004.0,770.0,91.0,0.357,0.4379999999999999,0.27,0,162,850.0
STL,NL,2004.0,659.0,105.0,0.344,0.46,0.278,1,162,855.0
TBD,AL,2004.0,842.0,70.0,0.32,0.405,0.258,0,161,714.0
TEX,AL,2004.0,794.0,89.0,0.3289999999999999,0.457,0.266,0,162,860.0
TOR,AL,2004.0,823.0,67.0,0.3279999999999999,0.4029999999999999,0.26,0,161,719.0
ANA,AL,2003.0,743.0,77.0,0.33,0.413,0.268,0,162,736.0
ARI,NL,2003.0,685.0,84.0,0.33,0.417,0.263,0,162,717.0
ATL,NL,2003.0,740.0,101.0,0.349,0.475,0.284,1,162,907.0
BAL,AL,2003.0,820.0,71.0,0.3229999999999999,0.405,0.268,0,163,743.0
BOS,AL,2003.0,809.0,95.0,0.36,0.491,0.289,1,162,961.0
CHC,NL,2003.0,683.0,88.0,0.3229999999999999,0.416,0.259,1,162,724.0
CHW,AL,2003.0,715.0,86.0,0.331,0.446,0.263,0,162,791.0
CIN,NL,2003.0,886.0,69.0,0.318,0.395,0.245,0,162,694.0
CLE,AL,2003.0,778.0,68.0,0.316,0.401,0.254,0,162,699.0
COL,NL,2003.0,892.0,74.0,0.344,0.445,0.267,0,162,853.0
DET,AL,2003.0,928.0,43.0,0.3,0.375,0.24,0,162,591.0
FLA,NL,2003.0,692.0,91.0,0.3329999999999999,0.421,0.266,1,162,751.0
HOU,NL,2003.0,677.0,87.0,0.336,0.431,0.263,0,162,805.0
KCR,AL,2003.0,867.0,83.0,0.336,0.427,0.2739999999999999,0,162,836.0
LAD,NL,2003.0,556.0,85.0,0.303,0.368,0.243,0,162,574.0
MIL,NL,2003.0,873.0,68.0,0.3289999999999999,0.419,0.256,0,162,714.0
MIN,AL,2003.0,758.0,90.0,0.341,0.431,0.2769999999999999,1,162,801.0
MON,NL,2003.0,716.0,83.0,0.326,0.401,0.258,0,162,711.0
NYM,NL,2003.0,754.0,66.0,0.314,0.374,0.247,0,161,642.0
NYY,AL,2003.0,716.0,101.0,0.356,0.4529999999999999,0.271,1,163,877.0
OAK,AL,2003.0,643.0,96.0,0.327,0.417,0.254,1,162,768.0
PHI,NL,2003.0,697.0,86.0,0.3429999999999999,0.419,0.261,0,162,791.0
PIT,NL,2003.0,801.0,75.0,0.3379999999999999,0.42,0.267,0,162,753.0
SDP,NL,2003.0,831.0,64.0,0.3329999999999999,0.3879999999999999,0.261,0,162,678.0
SEA,AL,2003.0,637.0,93.0,0.344,0.41,0.271,0,162,795.0
SFG,NL,2003.0,638.0,100.0,0.3379999999999999,0.425,0.264,1,161,755.0
STL,NL,2003.0,796.0,85.0,0.35,0.4539999999999999,0.2789999999999999,0,162,876.0
TBD,AL,2003.0,852.0,63.0,0.32,0.4039999999999999,0.265,0,162,715.0
TEX,AL,2003.0,969.0,71.0,0.33,0.4539999999999999,0.266,0,162,826.0
TOR,AL,2003.0,826.0,86.0,0.349,0.455,0.2789999999999999,0,162,894.0
ANA,AL,2002.0,644.0,99.0,0.341,0.433,0.282,1,162,851.0
ARI,NL,2002.0,674.0,98.0,0.346,0.423,0.267,1,162,819.0
ATL,NL,2002.0,565.0,101.0,0.331,0.409,0.26,1,161,708.0
BAL,AL,2002.0,773.0,67.0,0.309,0.4029999999999999,0.246,0,162,667.0
BOS,AL,2002.0,665.0,93.0,0.345,0.444,0.2769999999999999,0,162,859.0
CHC,NL,2002.0,759.0,67.0,0.321,0.413,0.246,0,162,706.0
CHW,AL,2002.0,798.0,81.0,0.3379999999999999,0.449,0.268,0,162,856.0
CIN,NL,2002.0,774.0,78.0,0.33,0.408,0.253,0,162,709.0
CLE,AL,2002.0,837.0,74.0,0.321,0.412,0.249,0,162,739.0
COL,NL,2002.0,898.0,73.0,0.337,0.423,0.2739999999999999,0,162,778.0
DET,AL,2002.0,864.0,55.0,0.3,0.379,0.248,0,161,575.0
FLA,NL,2002.0,763.0,79.0,0.337,0.4029999999999999,0.261,0,162,699.0
HOU,NL,2002.0,695.0,84.0,0.3379999999999999,0.417,0.262,0,162,749.0
KCR,AL,2002.0,891.0,62.0,0.3229999999999999,0.3979999999999999,0.256,0,162,737.0
LAD,NL,2002.0,643.0,92.0,0.32,0.409,0.264,0,162,713.0
MIL,NL,2002.0,821.0,56.0,0.32,0.39,0.253,0,162,627.0
MIN,AL,2002.0,712.0,94.0,0.332,0.437,0.272,1,161,768.0
MON,NL,2002.0,718.0,83.0,0.3339999999999999,0.418,0.261,0,162,735.0
NYM,NL,2002.0,703.0,75.0,0.322,0.395,0.256,0,161,690.0
NYY,AL,2002.0,697.0,103.0,0.354,0.455,0.275,1,161,897.0
OAK,AL,2002.0,654.0,103.0,0.3389999999999999,0.432,0.261,1,162,800.0
PHI,NL,2002.0,724.0,80.0,0.3389999999999999,0.422,0.259,0,161,710.0
PIT,NL,2002.0,730.0,72.0,0.319,0.381,0.244,0,161,641.0
SDP,NL,2002.0,815.0,66.0,0.321,0.381,0.253,0,162,662.0
SEA,AL,2002.0,699.0,93.0,0.35,0.419,0.275,0,162,814.0
SFG,NL,2002.0,616.0,95.0,0.344,0.442,0.267,1,162,783.0
STL,NL,2002.0,648.0,97.0,0.3379999999999999,0.425,0.268,1,162,787.0
TBD,AL,2002.0,918.0,55.0,0.314,0.39,0.253,0,161,673.0
TEX,AL,2002.0,882.0,72.0,0.3379999999999999,0.455,0.2689999999999999,0,162,843.0
TOR,AL,2002.0,828.0,78.0,0.327,0.43,0.261,0,162,813.0
